"Opportunity ID";"Stage Before Lost";"Created Date";"Interest";"Campus extended";"Country Aggregate";"Stage";"Last Click Channel";"Drop";"Person Account: Gender";"Close Date"
"0065J00000AwXAP";"Student Agreement";"15/03/2022";"WDFT";"RMTEU - Spain";"Spain";"Closed lost";"";"0";"Male";"1/04/2022"
"0065J00000E3uR1";"";"10/03/2023";"WDFT";"MAD - Spain";"Spain";"Paid Deposit";"Organic Search";"0";"Female";"13/03/2023"
"0065J00000BRiMj";"Personal Interview";"20/06/2022";"WDFT";"MAD - Spain";"Spain";"Closed lost";"";"0";"Female";"20/07/2022"
"0065J00000Blm8k";"";"27/07/2022";"UXPT";"BCN - Spain";"Spain";"Paid Deposit";"Paid Search";"0";"";"23/09/2022"
"0065J00000Cd3j5";"Personal Interview";"24/01/2023";"UXPT";"BCN - Spain";"Spain";"Closed lost";"Direct";"0";"";"24/01/2023"
"0065J00000E3ckJ";"Technical Interview";"21/02/2023";"CYFT";"RMTEU - Spain";"Spain";"Closed lost";"Email";"0";"Male";"23/02/2023"
"0065J00000AwX7z";"Re-applied";"14/03/2022";"WDPT";"RMTEU - Spain";"Spain";"Closed lost";"Organic Search";"0";"Male";"16/03/2022"
"0065J000009Ebj2";"Technical Interview";"30/01/2022";"WDFT";"MAD - Spain";"Spain";"Closed lost";"Direct";"0";"Male";"16/02/2022"
"0065J000009Eqtq";"";"9/02/2022";"WDFT";"RMTEU - Spain";"Spain";"Paid Deposit";"Organic Search";"0";"Male";"24/02/2022"
"0065J00000CbUoR";"Personal Interview";"25/10/2022";"DAFT";"BCN - Spain";"Canada";"Closed lost";"";"0";"";"28/11/2022"
"0065J00000CAH0o";"Student Agreement";"13/07/2022";"WDPT";"MAD - Spain";"Spain";"Closed lost";"Email";"0";"Male";"24/08/2022"
"0065J00000CcGSH";"Student Agreement";"5/12/2022";"WDPT";"RMTEU - Spain";"Spain";"Closed lost";"Direct";"0";"Male";"24/01/2023"
"0065J00000Bmhfa";"Personal Interview";"29/09/2022";"WDFT";"MAD - Spain";"Spain";"Closed lost";"Direct";"0";"Male";"29/09/2022"
"0065J00000DOkMd";"Personal Interview";"2/05/2023";"WDFT";"MAD - Spain";"Spain";"Closed lost";"Paid Search";"0";"";"20/06/2023"
"0065J00000CbiB2";"Student Agreement";"4/11/2022";"UXFT";"BCN - Spain";"Spain";"Closed lost";"Organic Search";"0";"Male";"1/12/2022"
"0065J00000BHNSh";"";"23/06/2022";"UXPT";"BCN - Spain";"Spain";"Paid Deposit";"Organic Search";"0";"Female";"15/07/2022"
"0065J00000Cbn4z";"Technical Interview";"8/11/2022";"DAPT";"MAD - Spain";"Spain";"Closed lost";"Paid Search";"0";"Female";"22/11/2022"
"0065J00000Bm2Vm";"";"17/08/2022";"DAPT";"RMTEU - Spain";"Spain";"Paid Deposit";"Direct";"1";"Male";"8/09/2022"
"0065J00000Ccgeq";"";"9/01/2023";"UXPT";"BCN - Spain";"Spain";"Paid Deposit";"Direct";"0";"Male";"16/02/2023"
"0065J000009Ekom";"Technical Interview";"4/02/2022";"WDFT";"BCN - Spain";"Spain";"Closed lost";"Organic Search";"0";"Male";"16/03/2022"
"0065J00000E45cM";"Re-applied";"22/03/2023";"DAFT";"BCN - Spain";"Spain";"Closed lost";"Organic Search";"0";"";"23/03/2023"
"0065J00000CdLLs";"";"9/02/2023";"UXFT";"BCN - Spain";"Spain";"Paid Deposit";"Direct";"0";"Male";"7/03/2023"
"0065J00000AxKSL";"Student Agreement";"26/04/2022";"WDFT";"RMTEU - Spain";"Spain";"Closed lost";"Organic Search";"0";"Female";"30/05/2022"
"0065J00000AwvtO";"Personal Interview";"4/04/2022";"CYPT";"RMTEU - Spain";"Spain";"Closed lost";"";"0";"Male";"19/04/2022"
